,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Tracing Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tracing Method,Typical Use,Notes (legal context),Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exact Match,Wallet to wallet transfers; no pooling.,Use when inputs and outputs match.,Direct transfer without commingling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Value Trace (Swap),Swaps on DEX/CEX; value equivalence.,Document both legs and pricing source.,Trace value through asset conversion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FIFO,Commingled pools with multiple deposits.,Conservative when older funds likely spent first.,First funds in traced first.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFO,Commingled pools with recent deposit then outflow.,Useful when outflow follows new deposit.,Most recent funds traced first.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pro Rata,Commingled pools with continuous activity.,Often used for fair allocation.,Allocate outflows proportionally across pool.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lowest Intermediate Balance,Legal trust tracing in commingled accounts.,Caps remaining claim in the account.,Trace limited by lowest balance after deposit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Protocol Reconstruction,Smart contract reconstructions & identifying interaction outcomes,Use when explorer transfer list alone misstates the true economic leg.,Decode method and event logs to reconstruct protocol-specific economic effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic Leg Decomposition,"Single tx with burn plus refund, or mint plus contract payout.","Additional row applies when transaction involves more than one source logic, and one destination logic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Trace Sheet Direcctory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column,Description (≤10 words),Chainalysis/TRM term,Type,Display,Example,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ref,Unique trace reference identifier,Case Ref / Trace Ref,Text,,TXN.000,Sequential identifier per trace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
