Key Controls,,,,,Valuation Controls (Mock Inputs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic legs captured in Trace,9,,,,Analysis / Review Date,46092,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique transaction hashes captured,5,,,,USD/AUD FX at review,1.58,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan liquidation burn legs,2,,,,USD/AUD FX at stake start,1.54,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan liquidation refund legs,2,,,,HDRN price USD at sample start,0.0000285,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HDRN burned in sample bids,77100000000,,,,HDRN price USD at review,0.00004,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HDRN refunded by mint,76100000000,,,,ICSA price USD at sample start,0.75,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HDRN transferred into Icosa on stake start,26070534.4,,,,ICSA price USD at review,0.9,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HDRN transferred from Icosa on stake exits,134247755.6,,,,HEX price USD for buy examples,0.02,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ICSA minted on sample exits,9404.11244,,,,HEX price USD at review,0.03,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,USDT price USD,1,Mock input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methodology notes (court-ready wording),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Decompose multi-effect smart contract transactions into one row per economic leg where a single row cannot accurately represent source, destination, and asset logic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- For burn rows, describe the null address as a protocol sink only. For mint rows, describe it as protocol issuance origin only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- In live matters, replace all mock pre/post balances with balance snapshots taken immediately before and after the relevant block height.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Keep activity descriptions short, factual, and protocol-specific. Avoid speculation about beneficial ownership unless separately evidenced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedron contract page,https://etherscan.io/token/0x3819f64f282bf135d62168c1e513280daf905e06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icosa contract page,https://etherscan.io/address/0xfc4913214444af5c715cc9f7b52655e788a569ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample liquidation bid tx A,https://etherscan.io/tx/0xccefa0c1e2432164d6b88ee40a07e34765b35c82cdacc10d8bb7a5a518e2126a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample liquidation bid tx B,https://etherscan.io/tx/0x8a7c035ad1d9b698be4d6c059cbf0cb53ff4d7cc81d5df49a76120b9d94f3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample hdrnStakeStart tx,https://etherscan.io/tx/0x6d1a766b5c94a6902865fb315b72ba3bf0cd24a41e4ac75046f4dfe29b58ee66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trading Activity Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mock series for template development. Buys and sells are separated by direction, summed in USD and AUD, and remaining holdings are marked to review-date value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Ref,Trade Date,Direction,Pair,Input Asset,Input Qty,Output Asset,Output Qty,USD Value,USD/AUD FX,AUD Value,Series ID,Status,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRD.001,46006,BUY,USDT/HEX,USDT,10000,HEX,500000,10000,1.53,15300,HEX_SERIES_01,Closed,Mock buy 1 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRD.002,46025,BUY,USDT/HEX,USDT,10000,HEX,476190.4762,10000,1.54,15400,HEX_SERIES_01,Closed,Mock buy 2 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRD.003,46050,BUY,USDT/HEX,USDT,10000,HEX,454545.4545,10000,1.55,15500,HEX_SERIES_01,Partially realised,Mock buy 3 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRD.004,46073,SELL,HEX/USDT,HEX,400000,USDT,17000,17000,1.56,26520,HEX_SERIES_01,Closed,Mock sell 1 of 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
